Epoch 76 | Loss -0.8549 ± 0.0765 | Feature Std 28.2542 ± 0.8744 | Momentum 0.9994
Epoch 77 | Loss -0.8585 ± 0.0692 | Feature Std 28.8249 ± 1.0922 | Momentum 0.9995
Epoch 78 | Loss -0.8593 ± 0.0755 | Feature Std 29.5368 ± 0.8296 | Momentum 0.9995
Epoch 79 | Loss -0.8553 ± 0.0789 | Feature Std 29.4880 ± 0.8424 | Momentum 0.9996
Epoch 80 | Loss -0.8522 ± 0.0771 | Feature Std 29.5941 ± 1.0402 | Momentum 0.9996
Epoch 81 | Loss -0.8540 ± 0.0771 | Feature Std 30.1698 ± 1.0248 | Momentum 0.9996
Epoch 82 | Loss -0.8601 ± 0.0826 | Feature Std 30.5305 ± 1.0472 | Momentum 0.9997
Epoch 83 | Loss -0.8558 ± 0.0853 | Feature Std 30.9753 ± 0.9777 | Momentum 0.9997
Epoch 84 | Loss -0.8553 ± 0.0791 | Feature Std 30.7262 ± 1.0705 | Momentum 0.9997
Epoch 85 | Loss -0.8553 ± 0.0890 | Feature Std 31.1548 ± 0.9481 | Momentum 0.9998
Epoch 86 | Loss -0.8588 ± 0.0777 | Feature Std 31.1642 ± 0.9754 | Momentum 0.9998
Epoch 87 | Loss -0.8593 ± 0.0841 | Feature Std 32.3726 ± 0.9859 | Momentum 0.9998
Epoch 88 | Loss -0.8516 ± 0.0754 | Feature Std 31.3174 ± 1.0138 | Momentum 0.9999
Epoch 89 | Loss -0.8622 ± 0.0711 | Feature Std 32.3554 ± 0.9886 | Momentum 0.9999
Epoch 90 | Loss -0.8570 ± 0.0792 | Feature Std 32.3701 ± 1.1432 | Momentum 0.9999
Epoch 91 | Loss -0.8566 ± 0.0753 | Feature Std 32.0419 ± 1.1747 | Momentum 0.9999
Epoch 92 | Loss -0.8560 ± 0.0798 | Feature Std 32.7946 ± 1.0476 | Momentum 0.9999
Epoch 93 | Loss -0.8564 ± 0.0801 | Feature Std 32.7865 ± 1.0335 | Momentum 1.0000
Epoch 94 | Loss -0.8590 ± 0.0844 | Feature Std 33.7706 ± 1.1136 | Momentum 1.0000
Epoch 95 | Loss -0.8586 ± 0.0849 | Feature Std 33.8429 ± 1.0150 | Momentum 1.0000
Epoch 96 | Loss -0.8574 ± 0.0797 | Feature Std 34.0386 ± 1.0735 | Momentum 1.0000
Epoch 97 | Loss -0.8560 ± 0.0807 | Feature Std 34.1416 ± 1.1560 | Momentum 1.0000
Epoch 98 | Loss -0.8655 ± 0.0778 | Feature Std 34.6123 ± 1.2470 | Momentum 1.0000
Epoch 99 | Loss -0.8597 ± 0.0765 | Feature Std 35.0822 ± 1.1215 | Momentum 1.0000
Epoch 100 | Loss -0.8639 ± 0.0748 | Feature Std 35.7785 ± 1.2612 | Momentum 1.0000
