Epoch 84 | Loss -0.8728 ± 0.0593 | Feature Std 15.3533 ± 0.3329 | Momentum 0.9997
Epoch 85 | Loss -0.8706 ± 0.0622 | Feature Std 15.5662 ± 0.3306 | Momentum 0.9998
Epoch 86 | Loss -0.8702 ± 0.0658 | Feature Std 15.7275 ± 0.4160 | Momentum 0.9998
Epoch 87 | Loss -0.8695 ± 0.0618 | Feature Std 15.6725 ± 0.3330 | Momentum 0.9998
Epoch 88 | Loss -0.8685 ± 0.0685 | Feature Std 15.5551 ± 0.3253 | Momentum 0.9999
Epoch 89 | Loss -0.8746 ± 0.0646 | Feature Std 15.9135 ± 0.2977 | Momentum 0.9999
Epoch 90 | Loss -0.8744 ± 0.0622 | Feature Std 16.0427 ± 0.3654 | Momentum 0.9999
Epoch 91 | Loss -0.8791 ± 0.0553 | Feature Std 16.1241 ± 0.3794 | Momentum 0.9999
Epoch 92 | Loss -0.8806 ± 0.0573 | Feature Std 16.3993 ± 0.3218 | Momentum 0.9999
Epoch 93 | Loss -0.8734 ± 0.0598 | Feature Std 16.2906 ± 0.3233 | Momentum 1.0000
Epoch 94 | Loss -0.8796 ± 0.0584 | Feature Std 16.1325 ± 0.3089 | Momentum 1.0000
Epoch 95 | Loss -0.8810 ± 0.0584 | Feature Std 15.8935 ± 0.3769 | Momentum 1.0000
Epoch 96 | Loss -0.8759 ± 0.0614 | Feature Std 16.1782 ± 0.4282 | Momentum 1.0000
Epoch 97 | Loss -0.8835 ± 0.0577 | Feature Std 16.5911 ± 0.3013 | Momentum 1.0000
Epoch 98 | Loss -0.8839 ± 0.0579 | Feature Std 16.6532 ± 0.3492 | Momentum 1.0000
Epoch 99 | Loss -0.8882 ± 0.0575 | Feature Std 16.8055 ± 0.3244 | Momentum 1.0000
Epoch 100 | Loss -0.8840 ± 0.0564 | Feature Std 16.8222 ± 0.3597 | Momentum 1.0000
